,Code
1633,244460
1634,023790
1635,466910
1636,044180
1637,439410
1638,065690
1639,062970
1640,065420
1641,440820
1642,424140
1643,106520
1644,430220
1645,406760
1646,457390
1647,405640
1648,393360
1649,397880
1650,422040
1651,454750
1652,442310
1653,469880
1654,471050
1655,473050
1656,421800
1657,054630
1658,436610
1659,412930
1660,446750
1661,418170
1662,458320
1663,438220
1664,430460
1665,03481K
1666,446840
1667,425290
1668,388800
1669,435380
1670,448830
1671,456440
1672,445970
1673,448370
1674,454640
1675,174880
1676,469900
1677,430700
1678,455910
1679,439730
1680,415580
1681,046070
1682,444920
1683,448760
1684,450050
1685,446190
1686,437780
1687,058220
1688,400840
1689,455310
1690,452670
1691,442770
1692,446150
1693,472220
1694,450940
1695,455250
1696,467930
1697,456490
1698,458610
1699,469480
1700,464440
1701,445360
1702,468760
1703,462020
1704,440790
1705,418210
1706,472230
1707,433530
1708,473370
1709,386580
1710,435870
1711,465320
1712,442130
1713,161570
1714,457940
1715,413600
1716,438580
1717,032685
1718,021045
